,Search Trends,close
2016-11-17 15:00:00,54.0,157.41
2016-11-18 09:00:00,9.0,157.27
2016-11-18 10:00:00,16.0,157.18
2016-11-18 11:00:00,29.0,157.1
2016-11-18 12:00:00,42.0,156.9
2016-11-18 13:00:00,47.0,156.66
2016-11-18 14:00:00,51.0,158.09
2016-11-18 15:00:00,53.0,157.6
2016-11-21 09:00:00,7.0,160.0
2016-11-21 10:00:00,14.0,159.985
2016-11-21 11:00:00,28.0,161.18
2016-11-21 12:00:00,42.0,160.2
2016-11-21 13:00:00,50.0,160.5
2016-11-21 14:00:00,55.0,160.9
2016-11-21 15:00:00,57.0,160.81
2016-11-22 09:00:00,8.0,162.05
2016-11-22 10:00:00,17.0,162.37
2016-11-22 11:00:00,31.0,163.12
2016-11-22 12:00:00,45.0,164.88
2016-11-22 13:00:00,51.0,164.98
2016-11-22 14:00:00,55.0,164.14
2016-11-22 15:00:00,56.0,165.15
2016-11-23 09:00:00,8.0,164.965
2016-11-23 10:00:00,16.0,165.62
2016-11-23 11:00:00,30.0,164.95
2016-11-23 12:00:00,42.0,166.04
2016-11-23 13:00:00,49.0,165.18
2016-11-23 14:00:00,52.0,166.01
2016-11-23 15:00:00,54.0,166.87
2016-11-25 09:00:00,9.0,164.64
2016-11-25 10:00:00,16.0,161.76
2016-11-25 11:00:00,30.0,161.95
2016-11-25 12:00:00,44.0,162.94
2016-11-28 09:00:00,6.0,163.26
2016-11-28 10:00:00,11.0,163.24
2016-11-28 11:00:00,23.0,162.62
2016-11-28 12:00:00,38.0,162.95
2016-11-28 13:00:00,45.0,163.07
2016-11-28 14:00:00,51.0,162.11
2016-11-28 15:00:00,55.0,161.85
2016-11-29 09:00:00,8.0,162.845
2016-11-29 10:00:00,15.0,163.15
2016-11-29 11:00:00,28.0,162.49
2016-11-29 12:00:00,42.0,161.12
2016-11-29 13:00:00,48.0,161.38
2016-11-29 14:00:00,52.0,163.69
2016-11-29 15:00:00,54.0,162.82
2016-11-30 09:00:00,9.0,159.51
2016-11-30 10:00:00,16.0,159.05
2016-11-30 11:00:00,28.0,158.1
2016-11-30 12:00:00,41.0,157.13
2016-11-30 13:00:00,46.0,157.23
2016-11-30 14:00:00,50.0,156.7
2016-11-30 15:00:00,52.0,157.79
2016-12-01 09:00:00,8.0,155.225
2016-12-01 10:00:00,15.0,150.2
2016-12-01 11:00:00,27.0,151.93
2016-12-01 12:00:00,39.0,151.14
2016-12-01 13:00:00,43.0,149.75
2016-12-01 14:00:00,47.0,151.43
2016-12-01 15:00:00,50.0,151.3
2016-12-02 09:00:00,9.0,152.24
2016-12-02 10:00:00,16.0,151.42
2016-12-02 11:00:00,28.0,151.965
2016-12-02 12:00:00,41.0,152.87
2016-12-02 13:00:00,47.0,152.16
2016-12-02 14:00:00,50.0,152.26
2016-12-02 15:00:00,51.0,152.54
2016-12-05 09:00:00,7.0,156.46
2016-12-05 10:00:00,13.0,157.955
2016-12-05 11:00:00,26.0,158.1
2016-12-05 12:00:00,40.0,158.14
2016-12-05 13:00:00,47.0,157.92
2016-12-05 14:00:00,53.0,157.93
2016-12-05 15:00:00,55.0,157.95
2016-12-06 09:00:00,9.0,158.5
2016-12-06 10:00:00,16.0,158.73
2016-12-06 11:00:00,30.0,158.37
2016-12-06 12:00:00,43.0,156.56
2016-12-06 13:00:00,48.0,158.2
2016-12-06 14:00:00,51.0,158.29
2016-12-06 15:00:00,54.0,157.61
2016-12-07 09:00:00,9.0,162.6
2016-12-07 10:00:00,16.0,164.84
2016-12-07 11:00:00,28.0,164.87
2016-12-07 12:00:00,41.0,164.99
2016-12-07 13:00:00,46.0,166.98
2016-12-07 14:00:00,50.0,165.15
2016-12-07 15:00:00,51.0,165.58
2016-12-08 09:00:00,8.0,163.94
2016-12-08 10:00:00,14.0,163.78
2016-12-08 11:00:00,26.0,162.25
2016-12-08 12:00:00,38.0,162.41
2016-12-08 13:00:00,44.0,160.775
2016-12-08 14:00:00,48.0,159.105
2016-12-08 15:00:00,51.0,159.85
2016-12-09 09:00:00,8.0,161.47
2016-12-09 10:00:00,14.0,159.32
2016-12-09 11:00:00,25.0,159.29
2016-12-09 12:00:00,38.0,158.49
2016-12-09 13:00:00,44.0,158.13
2016-12-09 14:00:00,49.0,158.0
2016-12-09 15:00:00,51.0,158.61
2016-12-12 09:00:00,7.0,156.6
2016-12-12 10:00:00,12.0,154.61
2016-12-12 11:00:00,22.0,154.31
2016-12-12 12:00:00,35.0,153.5
2016-12-12 13:00:00,43.0,152.47
2016-12-12 14:00:00,49.0,153.09
2016-12-12 15:00:00,51.0,153.72
2016-12-13 09:00:00,8.0,156.17
2016-12-13 10:00:00,15.0,158.09
2016-12-13 11:00:00,27.0,157.06
2016-12-13 12:00:00,39.0,156.72
2016-12-13 13:00:00,46.0,156.7
2016-12-13 14:00:00,51.0,156.85
2016-12-13 15:00:00,55.0,156.77
2016-12-14 09:00:00,8.0,157.35
2016-12-14 10:00:00,15.0,157.48
2016-12-14 11:00:00,26.0,158.23
2016-12-14 12:00:00,37.0,157.32
2016-12-14 13:00:00,43.0,158.41
2016-12-14 14:00:00,49.0,158.59
2016-12-14 15:00:00,51.0,157.75
2016-12-15 09:00:00,8.0,160.53
2016-12-15 10:00:00,14.0,160.31
2016-12-15 11:00:00,26.0,159.37
2016-12-15 12:00:00,37.0,159.75
2016-12-15 13:00:00,44.0,159.15
2016-12-15 14:00:00,49.0,159.9
2016-12-15 15:00:00,50.0,159.12
2016-12-16 09:00:00,9.0,159.14
2016-12-16 10:00:00,14.0,158.37
2016-12-16 11:00:00,26.0,156.68
2016-12-16 12:00:00,37.0,156.47
2016-12-16 13:00:00,44.0,156.65
2016-12-16 14:00:00,49.0,155.48
2016-12-16 15:00:00,49.0,154.69
2016-12-19 09:00:00,6.0,155.48
2016-12-19 10:00:00,12.0,153.6
2016-12-19 11:00:00,23.0,153.68
2016-12-19 12:00:00,37.0,153.73
2016-12-19 13:00:00,45.0,153.69
2016-12-19 14:00:00,52.0,153.26
2016-12-19 15:00:00,55.0,152.99
2016-12-20 09:00:00,8.0,152.02
2016-12-20 10:00:00,15.0,153.02
2016-12-20 11:00:00,27.0,152.005
2016-12-20 12:00:00,39.0,152.88
2016-12-20 13:00:00,48.0,152.77
2016-12-20 14:00:00,52.0,151.58
2016-12-20 15:00:00,55.0,152.99
2016-12-21 10:00:00,15.0,154.24
2016-12-21 11:00:00,28.0,153.54
2016-12-21 12:00:00,41.0,154.23
2016-12-21 13:00:00,49.0,154.705
2016-12-21 14:00:00,54.0,154.6
2016-12-21 15:00:00,56.0,154.29
2016-12-22 09:00:00,8.0,154.97
2016-12-22 10:00:00,15.0,157.97
2016-12-22 11:00:00,27.0,156.04
2016-12-22 12:00:00,40.0,156.45
2016-12-22 13:00:00,47.0,157.0
2016-12-22 14:00:00,52.0,156.94
2016-12-22 15:00:00,55.0,156.41
2016-12-23 09:00:00,8.0,155.33
2016-12-23 10:00:00,14.0,155.83
2016-12-23 11:00:00,26.0,156.06
2016-12-23 12:00:00,38.0,155.49
2016-12-23 13:00:00,45.0,155.59
2016-12-23 14:00:00,49.0,156.365
2016-12-23 15:00:00,50.0,156.68
2016-12-27 09:00:00,7.0,160.33
2016-12-27 10:00:00,12.0,159.7
2016-12-27 11:00:00,24.0,158.98
2016-12-27 12:00:00,36.0,158.59
2016-12-27 13:00:00,45.0,158.33
2016-12-27 14:00:00,52.0,158.38
2016-12-27 15:00:00,55.0,158.49
2016-12-28 09:00:00,8.0,157.1
2016-12-28 10:00:00,14.0,156.89
2016-12-28 11:00:00,25.0,157.13
2016-12-28 12:00:00,37.0,157.45
2016-12-28 13:00:00,47.0,156.5
2016-12-28 14:00:00,53.0,156.28
2016-12-28 15:00:00,57.0,155.755
2016-12-29 09:00:00,8.0,156.75
2016-12-29 10:00:00,13.0,156.68
2016-12-29 11:00:00,24.0,156.78
2016-12-29 12:00:00,36.0,157.64
2016-12-29 13:00:00,45.0,157.89
2016-12-29 14:00:00,49.0,158.55
2016-12-29 15:00:00,52.0,158.52
2016-12-30 09:00:00,8.0,157.4
2016-12-30 10:00:00,12.0,157.055
2016-12-30 11:00:00,22.0,157.57
2016-12-30 12:00:00,34.0,157.13
2016-12-30 13:00:00,41.0,156.78
2016-12-30 14:00:00,45.0,156.32
2016-12-30 15:00:00,47.0,156.17
2017-01-03 09:00:00,7.0,159.8
